Title,Year,Rating,Votes,Runtime (Minutes),Revenue (Millions),Metascore,Director
Black Mass,2015,6.9,135706,123,62.56,68.0,Scott Cooper
Creed,2015,7.6,175673,133,109.71,82.0,Ryan Coogler
Swiss Army Man,2016,7.1,61812,97,4.21,64.0,Dan Kwan
The Expendables 3,2014,6.1,137568,126,39.29,35.0,Patrick Hughes
What We Do in the Shadows,2014,7.6,84016,86,3.33,76.0,Jemaine Clement
Southpaw,2015,7.4,169083,124,52.42,57.0,Antoine Fuqua
Hush,2016,6.6,45867,81,47.985,67.0,Mike Flanagan
Bridge of Spies,2015,7.6,217938,142,72.31,81.0,Steven Spielberg
The Lego Movie,2014,7.8,266508,100,257.76,83.0,Phil Lord
Everest,2015,7.1,154647,121,43.25,64.0,Baltasar Kormákur
Pixels,2015,5.6,101092,105,78.75,27.0,Chris Columbus
Robin Hood,2010,6.7,221117,140,105.22,53.0,Ridley Scott
The Wolverine,2013,6.7,355362,126,132.55,60.0,James Mangold
John Carter,2012,6.6,220667,132,73.06,51.0,Andrew Stanton
Keanu,2016,6.3,31913,100,20.57,63.0,Peter Atencio
The Gunman,2015,5.8,31194,115,10.64,39.0,Pierre Morel
Steve Jobs,2015,7.2,116112,122,17.75,82.0,Danny Boyle
Whisky Galore,2016,5.0,102,98,47.985,43.0,Gillies MacKinnon
Grown Ups 2,2013,5.4,114482,101,133.67,19.0,Dennis Dugan
The Age of Adaline,2015,7.2,112288,112,42.48,51.0,Lee Toland Krieger
The Incredible Hulk,2008,6.8,342355,112,134.52,61.0,Louis Leterrier
Couples Retreat,2009,5.5,86417,113,109.18,23.0,Peter Billingsley
Absolutely Anything,2015,6.0,26587,85,47.985,31.0,Terry Jones
Magic Mike,2012,6.1,113686,110,113.71,72.0,Steven Soderbergh
Minions,2015,6.4,159830,91,336.03,56.0,Kyle Balda
The Black Room,2016,3.9,240,91,47.985,71.0,Rolfe Kanefsky
Bronson,2008,7.1,93972,92,0.1,59.5,Nicolas Winding Refn
Despicable Me,2010,7.7,410607,95,251.5,72.0,Pierre Coffin
The Best of Me,2014,6.7,49041,118,26.76,29.0,Michael Hoffman
The Invitation,2015,6.7,40529,100,0.23,74.0,Karyn Kusama
Zero Dark Thirty,2012,7.4,226661,157,95.72,95.0,Kathryn Bigelow
Tangled,2010,7.8,316459,100,200.81,71.0,Nathan Greno
The Hunger Games: Mockingjay - Part 2,2015,6.6,202380,137,281.67,65.0,Francis Lawrence
Vacation,2015,6.1,74589,99,58.88,34.0,John Francis Daley
Taken,2008,7.8,502961,93,145.0,50.0,Pierre Morel
Pitch Perfect 2,2015,6.5,108306,115,183.44,63.0,Elizabeth Banks
Monsters University,2013,7.3,252119,104,268.49,65.0,Dan Scanlon
Elle,2016,7.2,35417,130,47.985,89.0,Paul Verhoeven
Mechanic: Resurrection,2016,5.6,48161,98,21.2,38.0,Dennis Gansel
Tusk,2014,5.4,34546,102,1.82,55.0,Kevin Smith
The Headhunter's Calling,2016,6.9,164,108,47.985,85.0,Mark Williams
Atonement,2007,7.8,202890,123,50.92,59.5,Joe Wright
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,357213,146,294.98,65.0,David Yates
Shame,2011,7.2,155010,101,4.0,72.0,Steve McQueen
Hanna,2011,6.8,164208,111,40.25,65.0,Joe Wright
The Babysitters,2007,5.7,8914,88,0.04,35.0,David Ross
Pride and Prejudice and Zombies,2016,5.8,35003,108,10.91,45.0,Burr Steers
300: Rise of an Empire,2014,6.2,237887,102,106.37,48.0,Noam Murro
London Has Fallen,2016,5.9,100702,99,62.4,28.0,Babak Najafi
The Curious Case of Benjamin Button,2008,7.8,485075,166,127.49,70.0,David Fincher
Sin City: A Dame to Kill For,2014,6.5,122185,102,13.75,46.0,Frank Miller
The Bourne Ultimatum,2007,8.1,525700,115,227.14,85.0,Paul Greengrass
Srpski film,2010,5.2,43648,104,47.985,55.0,Srdjan Spasojevic
The Purge: Election Year,2016,6.0,54216,109,79.0,59.5,James DeMonaco
3 Idiots,2009,8.4,238789,170,6.52,67.0,Rajkumar Hirani
Zoolander 2,2016,4.7,48297,102,28.84,34.0,Ben Stiller
World War Z,2013,7.0,494819,116,202.35,63.0,Marc Forster
Mission: Impossible - Ghost Protocol,2011,7.4,382459,132,209.36,73.0,Brad Bird
Let Me Make You a Martyr,2016,6.4,223,102,47.985,56.0,Corey Asraf
Filth,2013,7.1,81301,97,0.03,59.5,Jon S. Baird
The Longest Ride,2015,7.1,58421,123,37.43,33.0,George Tillman Jr.
The imposible,2012,7.6,156189,114,19.0,73.0,J.A. Bayona
Kick-Ass 2,2013,6.6,214825,103,28.75,41.0,Jeff Wadlow
Folk Hero & Funny Guy,2016,5.6,220,88,47.985,63.0,Jeff Grace
Oz the Great and Powerful,2013,6.3,181521,130,234.9,44.0,Sam Raimi
Brooklyn,2015,7.5,94977,117,38.32,87.0,John Crowley
Coraline,2009,7.7,156620,100,75.28,80.0,Henry Selick
Blue Valentine,2010,7.4,151409,112,9.7,81.0,Derek Cianfrance
The Thinning,2016,6.0,4531,81,47.985,31.0,Michael J. Gallagher
Silent Hill,2006,6.6,184152,125,46.98,59.5,Christophe Gans
Dredd,2012,7.1,213764,95,13.4,59.0,Pete Travis
Hunt for the Wilderpeople,2016,7.9,52331,101,5.2,81.0,Taika Waititi
Big Hero 6,2014,7.8,309186,102,222.49,74.0,Don Hall
Carrie,2013,5.9,113272,100,35.27,53.0,Kimberly Peirce
Iron Man 2,2010,7.0,556666,124,312.06,57.0,Jon Favreau
Demolition,2015,7.0,58720,101,1.82,49.0,Jean-Marc Vallée
Pandorum,2009,6.8,126656,108,10.33,28.0,Christian Alvart
Olympus Has Fallen,2013,6.5,214994,119,98.9,41.0,Antoine Fuqua
I Am Number Four,2011,6.1,202682,109,55.09,36.0,D.J. Caruso
Jagten,2012,8.3,192263,115,0.61,76.0,Thomas Vinterberg
The Proposal,2009,6.7,241709,108,163.95,48.0,Anne Fletcher
Get Hard,2015,6.0,95119,100,90.35,34.0,Etan Cohen
Just Go with It,2011,6.4,182069,117,103.03,33.0,Dennis Dugan
Revolutionary Road,2008,7.3,159736,119,22.88,69.0,Sam Mendes
The Town,2010,7.6,294553,125,92.17,74.0,Ben Affleck
The Boy,2016,6.0,51235,97,35.79,42.0,William Brent Bell
Denial,2016,6.6,8229,109,4.07,63.0,Mick Jackson
Predestination,2014,7.5,187760,97,47.985,69.0,Michael Spierig
Goosebumps,2015,6.3,57602,103,80.02,60.0,Rob Letterman
Sherlock Holmes: A Game of Shadows,2011,7.5,357436,129,186.83,48.0,Guy Ritchie
Salt,2010,6.4,255813,100,118.31,65.0,Phillip Noyce
Enemy,2013,6.9,111558,91,1.01,61.0,Denis Villeneuve
District 9,2009,8.0,556794,112,115.65,81.0,Neill Blomkamp
The Other Guys,2010,6.7,199900,107,119.22,64.0,Adam McKay
American Gangster,2007,7.8,337835,157,130.13,76.0,Ridley Scott
Marie Antoinette,2006,6.4,83941,123,15.96,65.0,Sofia Coppola
2012,2009,5.8,297984,158,166.11,49.0,Roland Emmerich
Harry Potter and the Half-Blood Prince,2009,7.5,351059,153,301.96,78.0,David Yates
Argo,2012,7.7,481274,120,136.02,86.0,Ben Affleck
Eddie the Eagle,2016,7.4,56332,106,15.79,54.0,Dexter Fletcher
The Lives of Others,2006,8.5,278103,137,11.28,89.0,Florian Henckel von Donnersmarck
Pet,2016,5.7,8404,94,47.985,48.0,Carles Torrens
Paint It Black,2016,8.3,61,96,47.985,71.0,Amber Tamblyn
Macbeth,2015,6.7,41642,113,47.985,71.0,Justin Kurzel
Forgetting Sarah Marshall,2008,7.2,226619,111,62.88,67.0,Nicholas Stoller
The Giver,2014,6.5,93799,97,45.09,47.0,Phillip Noyce
Triple 9,2016,6.3,48400,115,12.63,52.0,John Hillcoat
Perfetti sconosciuti,2016,7.7,17584,97,47.985,43.0,Paolo Genovese
Angry Birds,2016,6.3,55781,97,107.51,59.5,Clay Kaytis
Moonrise Kingdom,2012,7.8,254446,94,45.51,84.0,Wes Anderson
Hairspray,2007,6.7,102954,117,118.82,81.0,Adam Shankman
Safe Haven,2013,6.7,84765,115,71.35,34.0,Lasse Hallström
Focus,2015,6.6,166489,105,53.85,56.0,Glenn Ficarra
Ratatouille,2007,8.0,504039,111,206.44,96.0,Brad Bird
Stake Land,2010,6.5,36091,98,0.02,66.0,Jim Mickle
The Book of Eli,2010,6.9,241359,118,94.82,53.0,Albert Hughes
Cloverfield,2008,7.0,313803,85,80.03,64.0,Matt Reeves
Point Break,2015,5.3,44553,114,28.77,34.0,Ericson Core
Under the Skin,2013,6.3,94707,108,2.61,78.0,Jonathan Glazer
I Am Legend,2007,7.2,565721,101,256.39,65.0,Francis Lawrence
Men in Black 3,2012,6.8,278379,106,179.02,58.0,Barry Sonnenfeld
Super 8,2011,7.1,298913,112,126.98,72.0,J.J. Abrams
Law Abiding Citizen,2009,7.4,228339,109,73.34,34.0,F. Gary Gray
Up,2009,8.3,722203,96,292.98,88.0,Pete Docter
Maze Runner: The Scorch Trials,2015,6.3,159364,131,81.69,43.0,Wes Ball
Carol,2015,7.2,77995,118,0.25,95.0,Todd Haynes
Imperium,2016,6.5,27428,109,47.985,68.0,Daniel Ragussis
Youth,2015,7.3,52636,124,2.7,64.0,Paolo Sorrentino
Mr. Nobody,2009,7.9,166872,141,47.985,63.0,Jaco Van Dormael
City of Tiny Lights,2016,5.7,291,110,47.985,54.0,Pete Travis
Savages,2012,6.5,107960,131,47.31,59.0,Oliver Stone
(500) Days of Summer,2009,7.7,398972,95,32.39,76.0,Marc Webb
Movie 43,2013,4.3,83625,94,8.83,18.0,Elizabeth Banks
Gravity,2013,7.8,622089,91,274.08,96.0,Alfonso Cuarón
The Boy in the Striped Pyjamas,2008,7.8,144614,94,9.03,55.0,Mark Herman
Shooter,2007,7.2,267820,124,46.98,53.0,Antoine Fuqua
The Happening,2008,5.0,170897,91,64.51,34.0,M. Night Shyamalan
Bone Tomahawk,2015,7.1,47289,132,66.01,72.0,S. Craig Zahler
Magic Mike XXL,2015,5.7,42506,115,47.985,60.0,Gregory Jacobs
Easy A,2010,7.1,294950,92,58.4,72.0,Will Gluck
Exodus: Gods and Kings,2014,6.0,137299,150,65.01,52.0,Ridley Scott
Chappie,2015,6.9,188769,120,31.57,41.0,Neill Blomkamp
The Hobbit: The Desolation of Smaug,2013,7.9,513744,161,258.36,66.0,Peter Jackson
Half of a Yellow Sun,2013,6.2,1356,111,0.05,51.0,Biyi Bandele
Anthropoid,2016,7.2,24100,120,2.96,59.0,Sean Ellis
The Counselor,2013,5.3,84927,117,16.97,48.0,Ridley Scott
Viking,2016,4.7,1830,133,23.05,57.0,Andrey Kravchuk
Whiskey Tango Foxtrot,2016,6.6,36156,112,47.985,59.5,Glenn Ficarra
Trust,2010,7.0,36043,106,0.06,60.0,David Schwimmer
Birth of the Dragon,2016,3.9,552,103,93.05,61.0,George Nolfi
Elysium,2013,6.6,358932,109,47.985,59.5,Neill Blomkamp
The Green Inferno,2013,5.4,26461,100,7.19,38.0,Eli Roth
Godzilla,2014,6.4,318058,123,200.66,62.0,Gareth Edwards
The Bourne Legacy,2012,6.7,245374,135,113.17,61.0,Tony Gilroy
A Good Year,2006,6.9,74674,117,7.46,47.0,Ridley Scott
Friend Request,2016,5.4,12758,92,64.03,59.0,Simon Verhoeven
Deja Vu,2006,7.0,253858,126,47.985,59.5,Tony Scott
Lucy,2014,6.4,352698,89,126.55,61.0,Luc Besson
A Quiet Passion,2016,7.2,1024,125,1.08,77.0,Terence Davies
Need for Speed,2014,6.5,143389,132,43.57,39.0,Scott Waugh
Jack Reacher,2012,7.0,250811,130,58.68,50.0,Christopher McQuarrie
The Do-Over,2016,5.7,24761,108,0.54,22.0,Steven Brill
True Crimes,2016,7.3,198,92,47.985,43.0,Alexandros Avranas
American Pastoral,2016,6.1,7115,108,47.985,59.5,Ewan McGregor
The Ghost Writer,2010,7.2,137964,128,15.52,77.0,Roman Polanski
Limitless,2011,7.4,444417,105,79.24,59.0,Neil Burger
Spectral,2016,6.3,27042,107,47.985,39.0,Nic Mathieu
P.S. I Love You,2007,7.1,177247,126,53.68,59.5,Richard LaGravenese
Zipper,2015,5.7,4912,103,47.985,39.0,Mora Stephens
Midnight Special,2016,6.7,54787,112,3.71,76.0,Jeff Nichols
Don't Think Twice,2016,6.8,10485,92,4.42,83.0,Mike Birbiglia
Alice in Wonderland,2010,6.5,324898,108,334.19,53.0,Tim Burton
Chuck,2016,6.8,391,98,0.11,68.0,Philippe Falardeau
"I, Daniel Blake",2016,7.9,22941,100,47.985,77.0,Ken Loach
The Break-Up,2006,5.8,106381,106,118.68,45.0,Peyton Reed
Loving,2016,7.1,17141,123,7.7,79.0,Jeff Nichols
Fantastic Four,2015,4.3,121847,100,56.11,27.0,Josh Trank
The Survivalist,2015,6.3,9187,104,47.985,80.0,Stephen Fingleton
Colonia,2015,7.1,30074,106,47.985,33.0,Florian Gallenberger
The Boy Next Door,2015,4.6,30180,91,35.39,30.0,Rob Cohen
The Gift,2015,7.1,96688,108,43.77,77.0,Joel Edgerton
Dracula Untold,2014,6.3,148504,92,55.94,40.0,Gary Shore
In the Heart of the Sea,2015,6.9,90372,122,24.99,47.0,Ron Howard
Idiocracy,2006,6.6,115355,84,0.44,66.0,Mike Judge
The Expendables,2010,6.5,283282,103,102.98,45.0,Sylvester Stallone
Evil Dead,2013,6.5,133113,91,54.24,57.0,Fede Alvarez
Sinister,2012,6.8,171169,110,48.06,53.0,Scott Derrickson
Wreck-It Ralph,2012,7.8,290559,101,189.41,72.0,Rich Moore
Snow White and the Huntsman,2012,6.1,239772,127,155.11,57.0,Rupert Sanders
Pan,2015,5.8,47804,111,34.96,36.0,Joe Wright
Transformers: Dark of the Moon,2011,6.3,338369,154,352.36,42.0,Michael Bay
Juno,2007,7.5,432461,96,143.49,81.0,Jason Reitman
A Hologram for the King,2016,6.1,26521,98,4.2,58.0,Tom Tykwer
Money Monster,2016,6.5,68654,98,41.01,55.0,Jodie Foster
The Other Woman,2014,6.0,110825,109,83.91,39.0,Nick Cassavetes
Enchanted,2007,7.1,150353,107,127.71,75.0,Kevin Lima
The Intern,2015,7.1,159582,121,75.27,51.0,Nancy Meyers
Little Miss Sunshine,2006,7.8,374044,101,59.89,80.0,Jonathan Dayton
Bleed for This,2016,6.8,11900,117,4.85,62.0,Ben Younger
Clash of the Titans,2010,5.8,238206,106,163.19,39.0,Louis Leterrier
The Finest Hours,2016,6.8,44425,117,27.55,58.0,Craig Gillespie
Tron,2010,6.8,273959,125,172.05,49.0,Joseph Kosinski
The Hunger Games: Catching Fire,2013,7.6,525646,146,424.65,76.0,Francis Lawrence
All Good Things,2010,6.3,44158,101,0.58,57.0,Andrew Jarecki
Kickboxer: Vengeance,2016,4.9,6809,90,131.56,37.0,John Stockwell
The Last Airbender,2010,4.2,125129,103,47.985,20.0,M. Night Shyamalan
Sex Tape,2014,5.1,89885,94,38.54,36.0,Jake Kasdan
What to Expect When You're Expecting,2012,5.7,60059,110,41.1,41.0,Kirk Jones
Moneyball,2011,7.6,297395,133,75.61,87.0,Bennett Miller
Ghost Rider,2007,5.2,190673,114,115.8,35.0,Mark Steven Johnson
Unbroken,2014,7.2,114006,137,115.6,59.0,Angelina Jolie
Immortals,2011,6.0,142900,110,83.5,46.0,Tarsem Singh
Sunshine,2007,7.3,199860,107,3.68,64.0,Danny Boyle
Brave,2012,7.2,293941,93,237.28,69.0,Mark Andrews
Män som hatar kvinnor,2009,7.8,182074,152,10.1,76.0,Niels Arden Oplev
Adoration,2013,6.2,25208,112,0.32,37.0,Anne Fontaine
The Drop,2014,7.1,116118,106,10.72,69.0,Michaël R. Roskam
She's the Man,2006,6.4,122864,105,2.34,45.0,Andy Fickman
Daddy's Home,2015,6.1,68306,96,150.32,42.0,Sean Anders
Let Me In,2010,7.2,97141,116,12.13,79.0,Matt Reeves
Never Back Down,2008,6.6,84083,110,24.85,39.0,Jeff Wadlow
Grimsby,2016,6.2,63408,83,6.86,44.0,Louis Leterrier
Moon,2009,7.9,277123,97,5.01,67.0,Duncan Jones
Megamind,2010,7.3,183926,95,148.34,63.0,Tom McGrath
Gangster Squad,2013,6.7,181432,113,46.0,40.0,Ruben Fleischer
Blood Father,2016,6.4,40357,88,93.95,66.0,Jean-François Richet
He's Just Not That Into You,2009,6.4,137684,129,47.985,47.0,Ken Kwapis
Kung Fu Panda 3,2016,7.2,89791,95,143.52,66.0,Alessandro Carloni
The Rise of the Krays,2015,5.1,1630,110,6.53,90.0,Zackary Adler
Handsome Devil,2016,7.4,338,95,47.985,59.5,John Butler
Winter's Bone,2010,7.2,116435,100,47.985,59.5,Debra Granik
Horrible Bosses,2011,6.9,368556,98,117.53,57.0,Seth Gordon
Mommy,2014,8.1,33560,139,3.49,74.0,Xavier Dolan
Hellboy II: The Golden Army,2008,7.0,216932,120,75.75,78.0,Guillermo del Toro
Beautiful Creatures,2013,6.2,71822,124,19.45,52.0,Richard LaGravenese
Toni Erdmann,2016,7.6,24387,162,1.48,93.0,Maren Ade
The Lovely Bones,2009,6.7,130702,135,43.98,42.0,Peter Jackson
The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,143564,160,3.9,68.0,Andrew Dominik
Don Jon,2013,6.6,199973,90,24.48,66.0,Joseph Gordon-Levitt
Bastille Day,2016,6.3,21089,92,0.04,48.0,James Watkins
2307: Winter's Dream,2016,4.0,277,101,20.76,53.0,Joey Curtis
Free State of Jones,2016,6.9,29895,139,47.985,59.5,Gary Ross
Mr. Right,2015,6.3,30053,95,0.03,52.0,Paco Cabezas
The Secret Life of Walter Mitty,2013,7.3,249877,114,58.23,54.0,Ben Stiller
Dope,2015,7.3,66400,103,17.47,72.0,Rick Famuyiwa
Underworld Awakening,2012,6.4,127157,88,62.32,39.0,Måns Mårlind
Antichrist,2009,6.6,94069,108,0.4,49.0,Lars von Trier
Friday the 13th,2009,5.6,78631,97,65.0,34.0,Marcus Nispel
Taken 3,2014,6.0,144715,109,89.25,26.0,Olivier Megaton
Total Recall,2012,6.3,210965,118,58.88,43.0,Len Wiseman
X-Men: The Last Stand,2006,6.7,406540,104,234.36,58.0,Brett Ratner
The Escort,2016,6.0,7181,88,47.985,46.0,Will Slocombe
The Whole Truth,2016,6.1,10700,93,47.985,59.5,Courtney Hunt
Night at the Museum: Secret of the Tomb,2014,6.2,74886,98,113.73,47.0,Shawn Levy
Love & Other Drugs,2010,6.7,151519,112,32.36,55.0,Edward Zwick
The Interview,2014,6.6,261536,112,6.11,52.0,Evan Goldberg
The Host,2006,7.0,73491,120,2.2,85.0,Bong Joon Ho
Megan Is Missing,2011,4.9,6683,85,47.985,94.0,Michael Goi
WALL·E,2008,8.4,776897,98,223.81,59.5,Andrew Stanton
Knocked Up,2007,7.0,309398,129,148.73,85.0,Judd Apatow
Source Code,2011,7.5,404884,93,54.7,74.0,Duncan Jones
Lawless,2012,7.3,195360,116,37.4,58.0,John Hillcoat
Unfriended,2014,5.6,50402,83,31.54,59.0,Levan Gabriadze
American Reunion,2012,6.7,178471,113,56.72,49.0,Jon Hurwitz
The Pursuit of Happyness,2006,8.0,361105,117,162.59,64.0,Gabriele Muccino
Relatos salvajes,2014,8.1,110100,122,3.08,77.0,Damián Szifron
The Ridiculous 6,2015,4.8,31149,119,47.985,18.0,Frank Coraci
Frantz,2016,7.5,4304,113,0.86,73.0,François Ozon
Viral,2016,5.5,3564,85,47.985,72.0,Henry Joost
Gran Torino,2008,8.2,595779,116,148.09,59.5,Clint Eastwood
Burnt,2015,6.6,76469,101,13.65,42.0,John Wells
Tall Men,2016,3.2,173,133,47.985,57.0,Jonathan Holbrook
Sleeping Beauty,2011,5.3,27006,101,0.03,59.5,Julia Leigh
Vampire Academy,2014,5.6,44111,104,7.79,30.0,Mark Waters
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.4,296289,116,52.88,83.0,Tim Burton
Solace,2015,6.4,36300,101,47.985,36.0,Afonso Poyart
Insidious,2010,6.8,219916,103,53.99,52.0,James Wan
Popstar: Never Stop Never Stopping,2016,6.7,30875,87,9.39,68.0,Akiva Schaffer
The Levelling,2016,6.4,482,83,47.985,82.0,Hope Dickson Leach
Public Enemies,2009,7.0,240323,140,97.03,70.0,Michael Mann
Boyhood,2014,7.9,286722,165,25.36,100.0,Richard Linklater
Teenage Mutant Ninja Turtles,2014,5.9,178527,101,190.87,31.0,Jonathan Liebesman
Eastern Promises,2007,7.7,198006,100,17.11,82.0,David Cronenberg
The Daughter,2015,6.7,2798,96,0.03,62.0,Simon Stone
Pineapple Express,2008,7.0,267872,111,87.34,64.0,David Gordon Green
The First Time,2012,6.9,54027,95,0.02,55.0,Jon Kasdan
Gone Baby Gone,2007,7.7,206707,114,20.3,72.0,Ben Affleck
The Heat,2013,6.6,140151,117,159.58,60.0,Paul Feig
L'avenir,2016,7.1,5796,102,0.28,88.0,Mia Hansen-Løve
Anna Karenina,2012,6.6,75291,129,12.8,63.0,Joe Wright
Regression,2015,5.7,26320,106,0.05,32.0,Alejandro Amenábar
Ted 2,2015,6.3,136323,115,81.26,48.0,Seth MacFarlane
Pain & Gain,2013,6.5,168875,129,49.87,45.0,Michael Bay
Blood Diamond,2006,8.0,422014,143,57.37,64.0,Edward Zwick
Devil's Knot,2013,6.1,15514,114,47.985,42.0,Atom Egoyan
Child 44,2015,6.5,47703,137,1.21,41.0,Daniel Espinosa
The Hurt Locker,2008,7.6,352023,131,15.7,94.0,Kathryn Bigelow
Green Lantern,2011,5.6,231907,114,116.59,39.0,Martin Campbell
War on Everyone,2016,5.9,9285,98,47.985,50.0,John Michael McDonagh
The Mist,2007,7.2,233346,126,25.59,58.0,Frank Darabont
Escape Plan,2013,6.7,188004,115,25.12,49.0,Mikael Håfström
"Love, Rosie",2014,7.2,80415,102,0.01,44.0,Christian Ditter
The DUFF,2015,6.5,57874,101,34.02,56.0,Ari Sandel
The Age of Shadows,2016,7.2,2403,140,0.54,78.0,Jee-woon Kim
The Hunger Games: Mockingjay - Part 1,2014,6.7,331902,123,337.1,64.0,Francis Lawrence
We Need to Talk About Kevin,2011,7.5,104953,112,1.74,68.0,Lynne Ramsay
Love & Friendship,2016,6.5,16164,90,14.01,87.0,Whit Stillman
The Mortal Instruments: City of Bones,2013,5.9,112313,130,31.17,33.0,Harald Zwart
Seven Pounds,2008,7.7,245144,123,69.95,36.0,Gabriele Muccino
The King's Speech,2010,8.0,534388,118,138.8,88.0,Tom Hooper
Hunger,2008,7.6,54486,96,0.15,82.0,Steve McQueen
Jumper,2008,6.1,252503,88,80.17,35.0,Doug Liman
Toy Story 3,2010,8.3,586669,103,414.98,92.0,Lee Unkrich
Tinker Tailor Soldier Spy,2011,7.1,157053,122,24.1,85.0,Tomas Alfredson
Resident Evil: Retribution,2012,5.4,114144,96,42.35,39.0,Paul W.S. Anderson
Dear Zindagi,2016,7.8,23540,151,1.4,56.0,Gauri Shinde
Genius,2016,6.5,10708,104,1.36,59.5,Michael Grandage
Pompeii,2014,5.5,90188,105,23.22,39.0,Paul W.S. Anderson
Life of Pi,2012,7.9,471109,127,124.98,79.0,Ang Lee
Hachi: A Dog's Tale,2009,8.1,177602,93,47.985,61.0,Lasse Hallström
10 Years,2011,6.1,19636,100,0.2,59.5,Jamie Linden
I Origins,2014,7.3,86271,106,0.33,57.0,Mike Cahill
Live Free or Die Hard,2007,7.2,347567,128,134.52,69.0,Len Wiseman
The Matchbreaker,2016,5.5,1427,94,47.985,44.0,Caleb Vetter
Funny Games,2007,6.5,73835,111,1.29,59.5,Michael Haneke
Ted,2012,7.0,494641,106,218.63,62.0,Seth MacFarlane
RED,2010,7.1,250012,111,90.36,60.0,Robert Schwentke
Australia,2008,6.6,106115,165,49.55,53.0,Baz Luhrmann
Faster,2010,6.5,83788,98,23.23,44.0,George Tillman Jr.
The Neighbor,2016,5.8,4754,87,47.985,60.0,Marcus Dunstan
The Adjustment Bureau,2011,7.1,208632,106,62.45,59.5,George Nolfi
The Hollars,2016,6.5,5908,88,1.02,53.0,John Krasinski
The Judge,2014,7.4,146812,141,47.11,48.0,David Dobkin
Closed Circuit,2013,6.2,18437,96,5.73,50.0,John Crowley
Transformers: Revenge of the Fallen,2009,6.0,335757,150,402.08,35.0,Michael Bay
La tortue rouge,2016,7.6,11482,80,0.92,86.0,Michael Dudok de Wit
The Book of Life,2014,7.3,50388,95,50.15,67.0,Jorge R. Gutiérrez
Incendies,2010,8.2,92863,131,6.86,80.0,Denis Villeneuve
The Heartbreak Kid,2007,5.8,74664,116,36.77,46.0,Bobby Farrelly
Happy Feet,2006,6.5,141141,108,197.99,77.0,George Miller
Entourage,2015,6.6,64557,104,32.36,38.0,Doug Ellin
The Strangers,2008,6.2,96718,86,52.53,47.0,Bryan Bertino
Noah,2014,5.8,209700,138,101.16,68.0,Darren Aronofsky
Neighbors,2014,6.4,236500,97,150.06,68.0,Nicholas Stoller
Nymphomaniac: Vol. II,2013,6.7,65824,123,0.33,60.0,Lars von Trier
Wild,2014,7.1,95553,115,37.88,76.0,Jean-Marc Vallée
Grown Ups,2010,6.0,190385,102,162.0,30.0,Dennis Dugan
Blair Witch,2016,5.1,26088,89,20.75,47.0,Adam Wingard
The Karate Kid,2010,6.2,127983,140,176.59,61.0,Harald Zwart
Dark Shadows,2012,6.2,209326,113,79.71,55.0,Tim Burton
Friends with Benefits,2011,6.6,286543,109,55.8,63.0,Will Gluck
The Illusionist,2006,7.6,309934,110,39.83,68.0,Neil Burger
The A-Team,2010,6.8,219116,117,77.21,47.0,Joe Carnahan
The Guest,2014,6.7,71069,100,0.32,76.0,Adam Wingard
The Internship,2013,6.3,166342,119,44.67,42.0,Shawn Levy
Paul,2011,7.0,201707,104,37.37,57.0,Greg Mottola
This Beautiful Fantastic,2016,6.9,688,100,47.985,51.0,Simon Aboud
The Da Vinci Code,2006,6.6,338280,149,217.54,46.0,Ron Howard
Mr. Church,2016,7.7,16163,104,0.69,37.0,Bruce Beresford
Hugo,2011,7.5,259182,126,73.82,83.0,Martin Scorsese
The Blackcoat's Daughter,2015,5.6,4155,93,0.02,68.0,Oz Perkins
Body of Lies,2008,7.1,182305,128,39.38,57.0,Ridley Scott
Knight of Cups,2015,5.7,17439,118,0.56,53.0,Terrence Malick
The Mummy: Tomb of the Dragon Emperor,2008,5.2,124554,112,102.18,31.0,Rob Cohen
The Boss,2016,5.4,29642,99,63.03,40.0,Ben Falcone
Hands of Stone,2016,6.6,8998,111,4.71,54.0,Jonathan Jakubowicz
El secreto de sus ojos,2009,8.2,144524,129,20.17,80.0,Juan José Campanella
True Grit,2010,7.6,254904,110,171.03,80.0,Ethan Coen
We Are Your Friends,2015,6.2,25903,96,3.59,46.0,Max Joseph
A Million Ways to Die in the West,2014,6.1,144779,116,42.62,44.0,Seth MacFarlane
Only for One Night,2016,4.6,313,86,47.985,60.0,Chris Stokes
Rules Don't Apply,2016,5.7,3731,127,3.65,59.5,Warren Beatty
Ouija: Origin of Evil,2016,6.1,30035,99,34.9,65.0,Mike Flanagan
Percy Jackson: Sea of Monsters,2013,5.9,91684,106,68.56,39.0,Thor Freudenthal
Fracture,2007,7.2,148943,113,39.0,68.0,Gregory Hoblit
Oculus,2013,6.5,92875,104,27.69,61.0,Mike Flanagan
In Bruges,2008,7.9,322536,107,7.76,67.0,Martin McDonagh
This Means War,2012,6.3,154400,103,54.76,31.0,McG
Lída Baarová,2016,5.0,353,106,47.985,64.0,Filip Renc
The Road,2009,7.3,187302,111,0.06,59.5,John Hillcoat
Lavender,2016,5.2,2083,92,47.985,46.0,Ed Gass-Donnelly
Deuces,2016,6.6,256,87,47.985,36.0,Jamal Hill
