Title,Genre,Rating,Revenue (Millions),Metascore
Thor: The Dark World,Action,7.0,206.36,54.0
Thor: The Dark World,Adventure,7.0,206.36,54.0
Thor: The Dark World,Fantasy,7.0,206.36,54.0
Gods of Egypt,Action,5.5,31.14,25.0
Gods of Egypt,Adventure,5.5,31.14,25.0
Gods of Egypt,Fantasy,5.5,31.14,25.0
Captain America: The Winter Soldier,Action,7.8,259.75,70.0
Captain America: The Winter Soldier,Adventure,7.8,259.75,70.0
Captain America: The Winter Soldier,Sci-Fi,7.8,259.75,70.0
Monster Trucks,Action,5.7,33.04,41.0
Monster Trucks,Adventure,5.7,33.04,41.0
Monster Trucks,Comedy,5.7,33.04,41.0
A Dark Song,Drama,6.1,47.985,67.0
A Dark Song,Horror,6.1,47.985,67.0
Kick-Ass,Action,7.7,48.04,66.0
Kick-Ass,Comedy,7.7,48.04,66.0
Hardcore Henry,Action,6.7,9.24,51.0
Hardcore Henry,Adventure,6.7,9.24,51.0
Hardcore Henry,Sci-Fi,6.7,9.24,51.0
Cars,Animation,7.1,244.05,73.0
Cars,Adventure,7.1,244.05,73.0
Cars,Comedy,7.1,244.05,73.0
It Follows,Horror,6.9,14.67,83.0
It Follows,Mystery,6.9,14.67,83.0
The Girl with the Dragon Tattoo,Crime,7.8,102.52,71.0
The Girl with the Dragon Tattoo,Drama,7.8,102.52,71.0
The Girl with the Dragon Tattoo,Mystery,7.8,102.52,71.0
We're the Millers,Comedy,7.0,150.37,44.0
We're the Millers,Crime,7.0,150.37,44.0
American Honey,Drama,7.0,0.66,79.0
The Lobster,Comedy,7.1,8.7,82.0
The Lobster,Drama,7.1,8.7,82.0
The Lobster,Romance,7.1,8.7,82.0
Predators,Action,6.4,52.0,51.0
Predators,Adventure,6.4,52.0,51.0
Predators,Sci-Fi,6.4,52.0,51.0
Maleficent,Action,7.0,241.41,56.0
Maleficent,Adventure,7.0,241.41,56.0
Maleficent,Family,7.0,241.41,56.0
Rupture,Horror,4.8,47.985,35.0
Rupture,Sci-Fi,4.8,47.985,35.0
Rupture,Thriller,4.8,47.985,35.0
Pan's Labyrinth,Drama,8.2,37.62,98.0
Pan's Labyrinth,Fantasy,8.2,37.62,98.0
Pan's Labyrinth,War,8.2,37.62,98.0
A Kind of Murder,Crime,5.2,0.0,50.0
A Kind of Murder,Drama,5.2,0.0,50.0
A Kind of Murder,Thriller,5.2,0.0,50.0
Apocalypto,Action,7.8,50.86,68.0
Apocalypto,Adventure,7.8,50.86,68.0
Apocalypto,Drama,7.8,50.86,68.0
Mission: Impossible - Rogue Nation,Action,7.4,195.0,75.0
Mission: Impossible - Rogue Nation,Adventure,7.4,195.0,75.0
Mission: Impossible - Rogue Nation,Thriller,7.4,195.0,75.0
The Huntsman: Winter's War,Action,6.1,47.95,35.0
The Huntsman: Winter's War,Adventure,6.1,47.95,35.0
The Huntsman: Winter's War,Drama,6.1,47.95,35.0
The Perks of Being a Wallflower,Drama,8.0,17.74,67.0
The Perks of Being a Wallflower,Romance,8.0,17.74,67.0
Jackie,Biography,6.8,13.96,81.0
Jackie,Drama,6.8,13.96,81.0
Jackie,History,6.8,13.96,81.0
The Disappointments Room,Drama,3.9,2.41,31.0
The Disappointments Room,Horror,3.9,2.41,31.0
The Disappointments Room,Thriller,3.9,2.41,31.0
The Grand Budapest Hotel,Adventure,8.1,59.07,88.0
The Grand Budapest Hotel,Comedy,8.1,59.07,88.0
The Grand Budapest Hotel,Drama,8.1,59.07,88.0
The Host,Action,5.9,26.62,35.0
The Host,Adventure,5.9,26.62,35.0
The Host,Romance,5.9,26.62,35.0
Fury,Action,7.6,85.71,64.0
Fury,Drama,7.6,85.71,64.0
Fury,War,7.6,85.71,64.0
Inside Out,Animation,8.2,356.45,94.0
Inside Out,Adventure,8.2,356.45,94.0
Inside Out,Comedy,8.2,356.45,94.0
Rock Dog,Animation,5.8,9.4,48.0
Rock Dog,Adventure,5.8,9.4,48.0
Rock Dog,Comedy,5.8,9.4,48.0
Terminator Genisys,Action,6.5,89.73,38.0
Terminator Genisys,Adventure,6.5,89.73,38.0
Terminator Genisys,Sci-Fi,6.5,89.73,38.0
Percy Jackson & the Olympians: The Lightning Thief,Adventure,5.9,88.76,47.0
Percy Jackson & the Olympians: The Lightning Thief,Family,5.9,88.76,47.0
Percy Jackson & the Olympians: The Lightning Thief,Fantasy,5.9,88.76,47.0
Les Misérables,Drama,7.6,148.78,63.0
Les Misérables,Musical,7.6,148.78,63.0
Les Misérables,Romance,7.6,148.78,63.0
Children of Men,Drama,7.9,35.29,84.0
Children of Men,Sci-Fi,7.9,35.29,84.0
Children of Men,Thriller,7.9,35.29,84.0
20th Century Women,Comedy,7.4,5.66,83.0
20th Century Women,Drama,7.4,5.66,83.0
Spy,Action,7.1,110.82,75.0
Spy,Comedy,7.1,110.82,75.0
Spy,Crime,7.1,110.82,75.0
The Intouchables,Biography,8.6,13.18,57.0
The Intouchables,Comedy,8.6,13.18,57.0
The Intouchables,Drama,8.6,13.18,57.0
Bonjour Anne,Comedy,4.9,0.32,50.0
Bonjour Anne,Drama,4.9,0.32,50.0
Bonjour Anne,Romance,4.9,0.32,50.0
Kynodontas,Drama,7.3,0.11,73.0
Kynodontas,Thriller,7.3,0.11,73.0
Straight Outta Compton,Biography,7.9,161.03,72.0
Straight Outta Compton,Drama,7.9,161.03,72.0
Straight Outta Compton,History,7.9,161.03,72.0
The Amazing Spider-Man 2,Action,6.7,202.85,53.0
The Amazing Spider-Man 2,Adventure,6.7,202.85,53.0
The Amazing Spider-Man 2,Sci-Fi,6.7,202.85,53.0
The Conjuring,Horror,7.5,137.39,68.0
The Conjuring,Mystery,7.5,137.39,68.0
The Conjuring,Thriller,7.5,137.39,68.0
The Hangover,Comedy,7.8,277.31,73.0
Battleship,Action,5.8,65.17,41.0
Battleship,Adventure,5.8,65.17,41.0
Battleship,Sci-Fi,5.8,65.17,41.0
Rise of the Planet of the Apes,Action,7.6,176.74,68.0
Rise of the Planet of the Apes,Drama,7.6,176.74,68.0
Rise of the Planet of the Apes,Sci-Fi,7.6,176.74,68.0
Lights Out,Horror,6.4,67.24,58.0
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Drama,7.1,2.27,76.0
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Thriller,7.1,2.27,76.0
Birdman or (The Unexpected Virtue of Ignorance),Comedy,7.8,42.34,88.0
Birdman or (The Unexpected Virtue of Ignorance),Drama,7.8,42.34,88.0
Birdman or (The Unexpected Virtue of Ignorance),Romance,7.8,42.34,88.0
Black Swan,Drama,8.0,106.95,79.0
Black Swan,Thriller,8.0,106.95,79.0
Dear White People,Comedy,6.2,4.4,79.0
Dear White People,Drama,6.2,4.4,79.0
Nymphomaniac: Vol. I,Drama,7.0,0.79,64.0
Teenage Mutant Ninja Turtles: Out of the Shadows,Action,6.0,0.54,40.0
Teenage Mutant Ninja Turtles: Out of the Shadows,Adventure,6.0,0.54,40.0
Teenage Mutant Ninja Turtles: Out of the Shadows,Comedy,6.0,0.54,40.0
Knock Knock,Drama,4.9,0.03,53.0
Knock Knock,Horror,4.9,0.03,53.0
Knock Knock,Thriller,4.9,0.03,53.0
Dirty Grandpa,Comedy,6.0,35.54,18.0
Cloud Atlas,Drama,7.5,27.1,55.0
Cloud Atlas,Sci-Fi,7.5,27.1,55.0
X-Men Origins: Wolverine,Action,6.7,179.88,40.0
X-Men Origins: Wolverine,Adventure,6.7,179.88,40.0
X-Men Origins: Wolverine,Sci-Fi,6.7,179.88,40.0
Satanic,Horror,3.7,47.985,59.5
Skyfall,Action,7.8,304.36,81.0
Skyfall,Adventure,7.8,304.36,81.0
Skyfall,Thriller,7.8,304.36,81.0
The Hobbit: An Unexpected Journey,Adventure,7.9,303.0,58.0
The Hobbit: An Unexpected Journey,Fantasy,7.9,303.0,58.0
21 Jump Street,Action,7.2,138.45,69.0
21 Jump Street,Comedy,7.2,138.45,69.0
21 Jump Street,Crime,7.2,138.45,69.0
Sing Street,Comedy,8.0,3.23,79.0
Sing Street,Drama,8.0,3.23,79.0
Sing Street,Music,8.0,3.23,79.0
Ballerina,Animation,6.8,47.985,59.5
Ballerina,Adventure,6.8,47.985,59.5
Ballerina,Comedy,6.8,47.985,59.5
Oblivion,Action,7.0,89.02,54.0
Oblivion,Adventure,7.0,89.02,54.0
Oblivion,Mystery,7.0,89.02,54.0
22 Jump Street,Action,7.1,191.62,71.0
22 Jump Street,Comedy,7.1,191.62,71.0
22 Jump Street,Crime,7.1,191.62,71.0
Zodiac,Crime,7.7,33.05,78.0
Zodiac,Drama,7.7,33.05,78.0
Zodiac,History,7.7,33.05,78.0
Everybody Wants Some!!,Comedy,7.0,3.37,83.0
Iron Man Three,Action,7.2,408.99,62.0
Iron Man Three,Adventure,7.2,408.99,62.0
Iron Man Three,Sci-Fi,7.2,408.99,62.0
Now You See Me,Crime,7.3,117.7,50.0
Now You See Me,Mystery,7.3,117.7,50.0
Now You See Me,Thriller,7.3,117.7,50.0
Sherlock Holmes,Action,7.6,209.02,57.0
Sherlock Holmes,Adventure,7.6,209.02,57.0
Sherlock Holmes,Crime,7.6,209.02,57.0
Death Proof,Thriller,7.1,47.985,59.5
The Danish Girl,Biography,7.0,12.71,66.0
The Danish Girl,Drama,7.0,12.71,66.0
The Danish Girl,Romance,7.0,12.71,66.0
Hercules,Action,6.0,72.66,47.0
Hercules,Adventure,6.0,72.66,47.0
Sucker Punch,Action,6.1,36.38,33.0
Sucker Punch,Fantasy,6.1,36.38,33.0
Keeping Up with the Joneses,Action,5.8,14.9,34.0
Keeping Up with the Joneses,Comedy,5.8,14.9,34.0
Jupiter Ascending,Action,5.3,47.38,40.0
Jupiter Ascending,Adventure,5.3,47.38,40.0
Jupiter Ascending,Sci-Fi,5.3,47.38,40.0
Masterminds,Action,5.8,17.36,47.0
Masterminds,Comedy,5.8,17.36,47.0
Masterminds,Crime,5.8,17.36,47.0
Iris,Thriller,6.1,47.985,59.5
Busanhaeng,Action,7.5,2.13,72.0
Busanhaeng,Drama,7.5,2.13,72.0
Busanhaeng,Horror,7.5,2.13,72.0
Pitch Perfect,Comedy,7.2,65.0,66.0
Pitch Perfect,Music,7.2,65.0,66.0
Pitch Perfect,Romance,7.2,65.0,66.0
Neighbors 2: Sorority Rising,Comedy,5.7,55.29,58.0
The Exception,Drama,7.7,47.985,59.5
Man of Steel,Action,7.1,291.02,55.0
Man of Steel,Adventure,7.1,291.02,55.0
Man of Steel,Fantasy,7.1,291.02,55.0
The Choice,Drama,6.6,18.71,26.0
The Choice,Romance,6.6,18.71,26.0
Ice Age: Collision Course,Animation,5.7,64.06,34.0
Ice Age: Collision Course,Adventure,5.7,64.06,34.0
Ice Age: Collision Course,Comedy,5.7,64.06,34.0
The Devil Wears Prada,Comedy,6.8,124.73,62.0
The Devil Wears Prada,Drama,6.8,124.73,62.0
The Infiltrator,Biography,7.1,15.43,66.0
The Infiltrator,Crime,7.1,15.43,66.0
The Infiltrator,Drama,7.1,15.43,66.0
There Will Be Blood,Drama,8.1,40.22,92.0
There Will Be Blood,History,8.1,40.22,92.0
The Equalizer,Action,7.2,101.53,57.0
The Equalizer,Crime,7.2,101.53,57.0
The Equalizer,Thriller,7.2,101.53,57.0
Lone Survivor,Action,7.5,125.07,60.0
Lone Survivor,Biography,7.5,125.07,60.0
Lone Survivor,Drama,7.5,125.07,60.0
The Cabin in the Woods,Horror,7.0,42.04,72.0
The House Bunny,Comedy,5.5,48.24,55.0
The House Bunny,Romance,5.5,48.24,55.0
She's Out of My League,Comedy,6.4,31.58,46.0
She's Out of My League,Romance,6.4,31.58,46.0
Inherent Vice,Comedy,6.7,8.09,81.0
Inherent Vice,Crime,6.7,8.09,81.0
Inherent Vice,Drama,6.7,8.09,81.0
Alice Through the Looking Glass,Adventure,6.2,77.04,34.0
Alice Through the Looking Glass,Family,6.2,77.04,34.0
Alice Through the Looking Glass,Fantasy,6.2,77.04,34.0
Vincent N Roxxy,Crime,5.5,47.985,59.5
Vincent N Roxxy,Drama,5.5,47.985,59.5
Vincent N Roxxy,Thriller,5.5,47.985,59.5
The Fast and the Furious: Tokyo Drift,Action,6.0,62.49,45.0
The Fast and the Furious: Tokyo Drift,Crime,6.0,62.49,45.0
The Fast and the Furious: Tokyo Drift,Thriller,6.0,62.49,45.0
How to Be Single,Comedy,6.1,46.81,51.0
How to Be Single,Romance,6.1,46.81,51.0
The Blind Side,Biography,7.7,255.95,53.0
The Blind Side,Drama,7.7,255.95,53.0
The Blind Side,Sport,7.7,255.95,53.0
La vie d'Adèle,Drama,7.8,2.2,88.0
La vie d'Adèle,Romance,7.8,2.2,88.0
The Babadook,Drama,6.8,0.92,86.0
The Babadook,Horror,6.8,0.92,86.0
The Hobbit: The Battle of the Five Armies,Adventure,7.4,255.11,59.0
The Hobbit: The Battle of the Five Armies,Fantasy,7.4,255.11,59.0
Harry Potter and the Order of the Phoenix,Adventure,7.5,292.0,71.0
Harry Potter and the Order of the Phoenix,Family,7.5,292.0,71.0
Harry Potter and the Order of the Phoenix,Fantasy,7.5,292.0,71.0
Snowpiercer,Action,7.0,4.56,84.0
Snowpiercer,Drama,7.0,4.56,84.0
Snowpiercer,Sci-Fi,7.0,4.56,84.0
The 5th Wave,Action,5.2,34.91,33.0
The 5th Wave,Adventure,5.2,34.91,33.0
The 5th Wave,Sci-Fi,5.2,34.91,33.0
The Stakelander,Action,5.3,47.985,59.5
The Stakelander,Horror,5.3,47.985,59.5
The Visit,Comedy,6.2,65.07,55.0
The Visit,Horror,6.2,65.07,55.0
The Visit,Thriller,6.2,65.07,55.0
Fast Five,Action,7.3,209.81,66.0
Fast Five,Crime,7.3,209.81,66.0
Fast Five,Thriller,7.3,209.81,66.0
Step Up,Crime,6.5,65.27,48.0
Step Up,Drama,6.5,65.27,48.0
Step Up,Music,6.5,65.27,48.0
Lovesong,Drama,6.4,0.01,74.0
RocknRolla,Action,7.3,5.69,53.0
RocknRolla,Crime,7.3,5.69,53.0
RocknRolla,Thriller,7.3,5.69,53.0
In Time,Action,6.7,37.55,53.0
In Time,Sci-Fi,6.7,37.55,53.0
In Time,Thriller,6.7,37.55,53.0
The Social Network,Biography,7.7,96.92,95.0
The Social Network,Drama,7.7,96.92,95.0
The Last Witch Hunter,Action,6.0,27.36,34.0
The Last Witch Hunter,Adventure,6.0,27.36,34.0
The Last Witch Hunter,Fantasy,6.0,27.36,34.0
Victor Frankenstein,Drama,6.0,5.77,36.0
Victor Frankenstein,Horror,6.0,5.77,36.0
Victor Frankenstein,Sci-Fi,6.0,5.77,36.0
A Street Cat Named Bob,Biography,7.4,0.04,54.0
A Street Cat Named Bob,Comedy,7.4,0.04,54.0
A Street Cat Named Bob,Drama,7.4,0.04,54.0
Green Room,Crime,7.0,3.22,79.0
Green Room,Horror,7.0,3.22,79.0
Green Room,Thriller,7.0,3.22,79.0
Blackhat,Crime,5.4,7.1,51.0
Blackhat,Drama,5.4,7.1,51.0
Blackhat,Mystery,5.4,7.1,51.0
Storks,Animation,6.9,72.66,56.0
Storks,Adventure,6.9,72.66,56.0
Storks,Comedy,6.9,72.66,56.0
American Sniper,Action,7.3,350.12,72.0
American Sniper,Biography,7.3,350.12,72.0
American Sniper,Drama,7.3,350.12,72.0
Dallas Buyers Club,Biography,8.0,27.3,84.0
Dallas Buyers Club,Drama,8.0,27.3,84.0
Lincoln,Biography,7.4,182.2,86.0
Lincoln,Drama,7.4,182.2,86.0
Lincoln,History,7.4,182.2,86.0
Rush,Action,8.1,26.9,75.0
Rush,Biography,8.1,26.9,75.0
Rush,Drama,8.1,26.9,75.0
Before I Wake,Drama,6.1,47.985,59.5
Before I Wake,Fantasy,6.1,47.985,59.5
Before I Wake,Horror,6.1,47.985,59.5
Silver Linings Playbook,Comedy,7.8,132.09,81.0
Silver Linings Playbook,Drama,7.8,132.09,81.0
Silver Linings Playbook,Romance,7.8,132.09,81.0
Tracktown,Drama,5.9,47.985,64.0
Tracktown,Sport,5.9,47.985,64.0
The Fault in Our Stars,Drama,7.8,124.87,69.0
The Fault in Our Stars,Romance,7.8,124.87,69.0
Blended,Comedy,6.5,46.28,31.0
Blended,Romance,6.5,46.28,31.0
Fast & Furious,Action,6.6,155.02,46.0
Fast & Furious,Crime,6.6,155.02,46.0
Fast & Furious,Thriller,6.6,155.02,46.0
Looper,Action,7.4,66.47,84.0
Looper,Crime,7.4,66.47,84.0
Looper,Drama,7.4,66.47,84.0
White House Down,Action,6.4,73.1,52.0
White House Down,Drama,6.4,73.1,52.0
White House Down,Thriller,6.4,73.1,52.0
Pete's Dragon,Adventure,6.8,76.2,71.0
Pete's Dragon,Family,6.8,76.2,71.0
Pete's Dragon,Fantasy,6.8,76.2,71.0
Spider-Man 3,Action,6.2,336.53,59.0
Spider-Man 3,Adventure,6.2,336.53,59.0
The Three Musketeers,Action,5.8,20.32,35.0
The Three Musketeers,Adventure,5.8,20.32,35.0
The Three Musketeers,Romance,5.8,20.32,35.0
Stardust,Adventure,7.7,38.35,66.0
Stardust,Family,7.7,38.35,66.0
Stardust,Fantasy,7.7,38.35,66.0
American Hustle,Crime,7.3,150.12,90.0
American Hustle,Drama,7.3,150.12,90.0
Jennifer's Body,Comedy,5.1,16.2,47.0
Jennifer's Body,Horror,5.1,16.2,47.0
Midnight in Paris,Comedy,7.7,56.82,81.0
Midnight in Paris,Fantasy,7.7,56.82,81.0
Midnight in Paris,Romance,7.7,56.82,81.0
Lady Macbeth,Drama,7.3,47.985,83.0
Joy,Drama,6.6,56.44,56.0
The Dressmaker,Comedy,7.1,2.02,47.0
The Dressmaker,Drama,7.1,2.02,47.0
Café Society,Comedy,6.7,11.08,64.0
Café Society,Drama,6.7,11.08,64.0
Café Society,Romance,6.7,11.08,64.0
Insurgent,Adventure,6.3,130.0,42.0
Insurgent,Sci-Fi,6.3,130.0,42.0
Insurgent,Thriller,6.3,130.0,42.0
Seventh Son,Action,5.5,17.18,30.0
Seventh Son,Adventure,5.5,17.18,30.0
Seventh Son,Fantasy,5.5,17.18,30.0
Demain tout commence,Comedy,7.4,47.985,59.5
Demain tout commence,Drama,7.4,47.985,59.5
The Theory of Everything,Biography,7.7,35.89,72.0
The Theory of Everything,Drama,7.7,35.89,72.0
The Theory of Everything,Romance,7.7,35.89,72.0
This Is the End,Comedy,6.6,101.47,67.0
This Is the End,Fantasy,6.6,101.47,67.0
About Time,Comedy,7.8,15.29,55.0
About Time,Drama,7.8,15.29,55.0
About Time,Fantasy,7.8,15.29,55.0
Step Brothers,Comedy,6.9,100.47,51.0
Clown,Horror,5.7,0.05,42.0
Clown,Thriller,5.7,0.05,42.0
Star Trek Into Darkness,Action,7.8,228.76,72.0
Star Trek Into Darkness,Adventure,7.8,228.76,72.0
Star Trek Into Darkness,Sci-Fi,7.8,228.76,72.0
Zombieland,Adventure,7.7,75.59,73.0
Zombieland,Comedy,7.7,75.59,73.0
Zombieland,Horror,7.7,75.59,73.0
"Hail, Caesar!",Comedy,6.3,30.0,72.0
"Hail, Caesar!",Mystery,6.3,30.0,72.0
Slumdog Millionaire,Drama,8.0,141.32,86.0
The Twilight Saga: Breaking Dawn - Part 2,Adventure,5.5,292.3,52.0
The Twilight Saga: Breaking Dawn - Part 2,Drama,5.5,292.3,52.0
The Twilight Saga: Breaking Dawn - Part 2,Fantasy,5.5,292.3,52.0
American Wrestler: The Wizard,Drama,6.9,47.985,59.5
American Wrestler: The Wizard,Sport,6.9,47.985,59.5
The Amazing Spider-Man,Action,7.0,262.03,66.0
The Amazing Spider-Man,Adventure,7.0,262.03,66.0
Ben-Hur,Action,5.7,26.38,38.0
Ben-Hur,Adventure,5.7,26.38,38.0
Ben-Hur,Drama,5.7,26.38,38.0
Sleight,Action,6.0,3.85,62.0
Sleight,Drama,6.0,3.85,62.0
Sleight,Sci-Fi,6.0,3.85,62.0
The Maze Runner,Action,6.8,102.41,57.0
The Maze Runner,Mystery,6.8,102.41,57.0
The Maze Runner,Sci-Fi,6.8,102.41,57.0
Criminal,Action,6.3,14.27,36.0
Criminal,Crime,6.3,14.27,36.0
Criminal,Drama,6.3,14.27,36.0
Wanted,Action,6.7,134.57,64.0
Wanted,Crime,6.7,134.57,64.0
Wanted,Fantasy,6.7,134.57,64.0
Florence Foster Jenkins,Biography,6.9,27.37,71.0
Florence Foster Jenkins,Comedy,6.9,27.37,71.0
Florence Foster Jenkins,Drama,6.9,27.37,71.0
Collide,Action,5.7,2.2,33.0
Collide,Crime,5.7,2.2,33.0
Collide,Thriller,5.7,2.2,33.0
Black Mass,Biography,6.9,62.56,68.0
Black Mass,Crime,6.9,62.56,68.0
Black Mass,Drama,6.9,62.56,68.0
Creed,Drama,7.6,109.71,82.0
Creed,Sport,7.6,109.71,82.0
Swiss Army Man,Adventure,7.1,4.21,64.0
Swiss Army Man,Comedy,7.1,4.21,64.0
Swiss Army Man,Drama,7.1,4.21,64.0
The Expendables 3,Action,6.1,39.29,35.0
The Expendables 3,Adventure,6.1,39.29,35.0
The Expendables 3,Thriller,6.1,39.29,35.0
What We Do in the Shadows,Comedy,7.6,3.33,76.0
What We Do in the Shadows,Fantasy,7.6,3.33,76.0
What We Do in the Shadows,Horror,7.6,3.33,76.0
Southpaw,Drama,7.4,52.42,57.0
Southpaw,Sport,7.4,52.42,57.0
Hush,Horror,6.6,47.985,67.0
Hush,Thriller,6.6,47.985,67.0
Bridge of Spies,Drama,7.6,72.31,81.0
Bridge of Spies,History,7.6,72.31,81.0
Bridge of Spies,Thriller,7.6,72.31,81.0
The Lego Movie,Animation,7.8,257.76,83.0
The Lego Movie,Action,7.8,257.76,83.0
The Lego Movie,Adventure,7.8,257.76,83.0
Everest,Action,7.1,43.25,64.0
Everest,Adventure,7.1,43.25,64.0
Everest,Drama,7.1,43.25,64.0
Pixels,Action,5.6,78.75,27.0
Pixels,Comedy,5.6,78.75,27.0
Pixels,Family,5.6,78.75,27.0
Robin Hood,Action,6.7,105.22,53.0
Robin Hood,Adventure,6.7,105.22,53.0
Robin Hood,Drama,6.7,105.22,53.0
The Wolverine,Action,6.7,132.55,60.0
The Wolverine,Adventure,6.7,132.55,60.0
The Wolverine,Sci-Fi,6.7,132.55,60.0
John Carter,Action,6.6,73.06,51.0
John Carter,Adventure,6.6,73.06,51.0
John Carter,Sci-Fi,6.6,73.06,51.0
Keanu,Action,6.3,20.57,63.0
Keanu,Comedy,6.3,20.57,63.0
The Gunman,Action,5.8,10.64,39.0
The Gunman,Crime,5.8,10.64,39.0
The Gunman,Drama,5.8,10.64,39.0
Steve Jobs,Biography,7.2,17.75,82.0
Steve Jobs,Drama,7.2,17.75,82.0
Whisky Galore,Comedy,5.0,47.985,43.0
Whisky Galore,Romance,5.0,47.985,43.0
Grown Ups 2,Comedy,5.4,133.67,19.0
The Age of Adaline,Drama,7.2,42.48,51.0
The Age of Adaline,Fantasy,7.2,42.48,51.0
The Age of Adaline,Romance,7.2,42.48,51.0
The Incredible Hulk,Action,6.8,134.52,61.0
The Incredible Hulk,Adventure,6.8,134.52,61.0
The Incredible Hulk,Sci-Fi,6.8,134.52,61.0
Couples Retreat,Comedy,5.5,109.18,23.0
Absolutely Anything,Comedy,6.0,47.985,31.0
Absolutely Anything,Sci-Fi,6.0,47.985,31.0
Magic Mike,Comedy,6.1,113.71,72.0
Magic Mike,Drama,6.1,113.71,72.0
Minions,Animation,6.4,336.03,56.0
Minions,Action,6.4,336.03,56.0
Minions,Adventure,6.4,336.03,56.0
The Black Room,Horror,3.9,47.985,71.0
Bronson,Action,7.1,0.1,59.5
Bronson,Biography,7.1,0.1,59.5
Bronson,Crime,7.1,0.1,59.5
Despicable Me,Animation,7.7,251.5,72.0
Despicable Me,Adventure,7.7,251.5,72.0
Despicable Me,Comedy,7.7,251.5,72.0
The Best of Me,Drama,6.7,26.76,29.0
The Best of Me,Romance,6.7,26.76,29.0
The Invitation,Drama,6.7,0.23,74.0
The Invitation,Mystery,6.7,0.23,74.0
The Invitation,Thriller,6.7,0.23,74.0
Zero Dark Thirty,Drama,7.4,95.72,95.0
Zero Dark Thirty,History,7.4,95.72,95.0
Zero Dark Thirty,Thriller,7.4,95.72,95.0
Tangled,Animation,7.8,200.81,71.0
Tangled,Adventure,7.8,200.81,71.0
Tangled,Comedy,7.8,200.81,71.0
The Hunger Games: Mockingjay - Part 2,Action,6.6,281.67,65.0
The Hunger Games: Mockingjay - Part 2,Adventure,6.6,281.67,65.0
The Hunger Games: Mockingjay - Part 2,Sci-Fi,6.6,281.67,65.0
Vacation,Adventure,6.1,58.88,34.0
Vacation,Comedy,6.1,58.88,34.0
Taken,Action,7.8,145.0,50.0
Taken,Thriller,7.8,145.0,50.0
Pitch Perfect 2,Comedy,6.5,183.44,63.0
Pitch Perfect 2,Music,6.5,183.44,63.0
Monsters University,Animation,7.3,268.49,65.0
Monsters University,Adventure,7.3,268.49,65.0
Monsters University,Comedy,7.3,268.49,65.0
Elle,Crime,7.2,47.985,89.0
Elle,Drama,7.2,47.985,89.0
Elle,Thriller,7.2,47.985,89.0
Mechanic: Resurrection,Action,5.6,21.2,38.0
Mechanic: Resurrection,Adventure,5.6,21.2,38.0
Mechanic: Resurrection,Crime,5.6,21.2,38.0
Tusk,Comedy,5.4,1.82,55.0
Tusk,Drama,5.4,1.82,55.0
Tusk,Horror,5.4,1.82,55.0
The Headhunter's Calling,Drama,6.9,47.985,85.0
Atonement,Drama,7.8,50.92,59.5
Atonement,Mystery,7.8,50.92,59.5
Atonement,Romance,7.8,50.92,59.5
Harry Potter and the Deathly Hallows: Part 1,Adventure,7.7,294.98,65.0
Harry Potter and the Deathly Hallows: Part 1,Family,7.7,294.98,65.0
Harry Potter and the Deathly Hallows: Part 1,Fantasy,7.7,294.98,65.0
Shame,Drama,7.2,4.0,72.0
Hanna,Action,6.8,40.25,65.0
Hanna,Drama,6.8,40.25,65.0
Hanna,Thriller,6.8,40.25,65.0
The Babysitters,Drama,5.7,0.04,35.0
Pride and Prejudice and Zombies,Action,5.8,10.91,45.0
Pride and Prejudice and Zombies,Horror,5.8,10.91,45.0
Pride and Prejudice and Zombies,Romance,5.8,10.91,45.0
300: Rise of an Empire,Action,6.2,106.37,48.0
300: Rise of an Empire,Drama,6.2,106.37,48.0
300: Rise of an Empire,Fantasy,6.2,106.37,48.0
London Has Fallen,Action,5.9,62.4,28.0
London Has Fallen,Crime,5.9,62.4,28.0
London Has Fallen,Drama,5.9,62.4,28.0
The Curious Case of Benjamin Button,Drama,7.8,127.49,70.0
The Curious Case of Benjamin Button,Fantasy,7.8,127.49,70.0
The Curious Case of Benjamin Button,Romance,7.8,127.49,70.0
Sin City: A Dame to Kill For,Action,6.5,13.75,46.0
Sin City: A Dame to Kill For,Crime,6.5,13.75,46.0
Sin City: A Dame to Kill For,Thriller,6.5,13.75,46.0
The Bourne Ultimatum,Action,8.1,227.14,85.0
The Bourne Ultimatum,Mystery,8.1,227.14,85.0
The Bourne Ultimatum,Thriller,8.1,227.14,85.0
Srpski film,Horror,5.2,47.985,55.0
Srpski film,Mystery,5.2,47.985,55.0
Srpski film,Thriller,5.2,47.985,55.0
The Purge: Election Year,Action,6.0,79.0,59.5
The Purge: Election Year,Horror,6.0,79.0,59.5
The Purge: Election Year,Sci-Fi,6.0,79.0,59.5
3 Idiots,Comedy,8.4,6.52,67.0
3 Idiots,Drama,8.4,6.52,67.0
Zoolander 2,Comedy,4.7,28.84,34.0
World War Z,Action,7.0,202.35,63.0
World War Z,Adventure,7.0,202.35,63.0
World War Z,Horror,7.0,202.35,63.0
Mission: Impossible - Ghost Protocol,Action,7.4,209.36,73.0
Mission: Impossible - Ghost Protocol,Adventure,7.4,209.36,73.0
Mission: Impossible - Ghost Protocol,Thriller,7.4,209.36,73.0
